# 多晶材料三角形网格信息文件 (晶界细密-晶粒粗糙版)
# 生成时间: 2025-03-31 18:48:04
#
# 参数设置:
# - 几何文件: equiaxed_grains_with_boundaries.geo
# - 输出网格文件: mix_mesh.msh
# - 晶粒网格尺寸: 0.02
# - 晶界网格尺寸: 0.0005
# - 过渡区域距离: 0.05
# - 优化时间限制: 60 秒
#
# 晶界区域生成细密三角形网格，晶粒区域生成粗糙三角形网格
# ==========================================

# ===== 网格统计 =====
# 总单元数: 795405
# 总三角形单元数: 556695
# 总四边形单元数: 238710
# 晶界区域三角形数: 515156 (64.77%)
# 晶界区域四边形数: 0 (0.0%)
# 晶粒区域三角形数: 41539 (5.22%)
# 晶粒区域四边形数: 238710 (30.01%)
# 晶粒区域四边形重组效率: 85.18%

# ===== 物理组网格统计 =====
# 物理组ID,物理组名称,三角形单元数,四边形单元数
427,Boundary_74_1,1368,0
237,Boundary_75_1,727,0
529,Boundary_64_6,784,0
270,Boundary_93_2,902,0
33,Grain_36,54,2641
254,Boundary_71_1,951,0
482,Boundary_4_4,944,0
165,Boundary_77_5,259,0
527,Boundary_87_3,962,0
142,Boundary_94_1,1078,0
416,Boundary_64_5,777,0
5,Grain_35,120,2495
45,Grain_71,617,2126
418,Boundary_20_2,644,0
449,Boundary_48_4,847,0
282,Boundary_72_4,1598,0
556,Boundary_11_6,1279,0
530,Boundary_43_1,666,0
393,Boundary_7_1,558,0
437,Boundary_99_3,1354,0
590,Boundary_38_2,798,0
148,Boundary_87_6,2522,0
623,Boundary_56_2,980,0
36,Grain_98,659,2104
7,Grain_60,747,2335
25,Grain_12,649,2256
95,Grain_96,717,2269
296,Boundary_80_3,579,0
476,Boundary_64_4,1011,0
341,Boundary_97_2,784,0
287,Boundary_1_4,660,0
19,Grain_63,677,2233
583,Boundary_96_3,760,0
44,Grain_95,66,2815
266,Boundary_61_3,626,0
31,Grain_43,60,2539
29,Grain_92,116,2547
303,Boundary_48_3,938,0
576,Boundary_27_6,868,0
159,Boundary_57_2,697,0
463,Boundary_30_4,911,0
360,Boundary_39_3,620,0
