# 多晶材料结构化网格信息文件 (晶粒算法8优化版)
# 生成时间: 2025-03-31 23:35:19
#
# 参数设置:
# - 几何文件: equiaxed_grains_with_boundaries.geo
# - 输出网格文件: quad_domi_mesh.msh
# - 晶粒网格尺寸: 0.02
# - 晶界网格尺寸: 0.0005
# - 过渡区域距离: 0.05
# - 优化时间限制: 60 秒
#
# 晶界区域使用算法6(Frontal-Delaunay)，晶粒内部使用算法8(Delaunay for Quads)
# ==========================================
# 四边形晶界数: 567, 非四边形晶界数: 0

# ===== 网格统计 =====
# 总网格单元数: 638089
# 四边形比例: 95.16%
# 晶界区域(算法6)四边形比例: 100.0%
# 晶粒内部(算法8)四边形比例: 88.96%

# ===== Transfinite表面设置结果 =====
# 表面ID,设置结果,原因,识别方法
525,Boundary_27_4,544,0,100.0
365,Boundary_17_5,525,0,100.0
638,Boundary_33_7,432,0,100.0
263,Boundary_7_2,445,0,100.0
422,Boundary_7_6,900,0,100.0
242,Boundary_41_1,840,0,100.0
183,Boundary_26_5,300,0,100.0
551,Boundary_20_1,588,0,100.0
224,Boundary_7_3,875,0,100.0
177,Boundary_59_5,1488,0,100.0
637,Boundary_23_3,900,0,100.0
523,Boundary_2_4,596,0,100.0
77,Grain_38,2233,707,75.95
172,Boundary_55_3,612,0,100.0
103,Boundary_23_2,1050,0,100.0
526,Boundary_42_3,915,0,100.0
59,Grain_100,2494,0,100.0
211,Boundary_45_2,625,0,100.0
358,Boundary_85_3,800,0,100.0
366,Boundary_7_4,965,0,100.0
414,Boundary_16_1,540,0,100.0
116,Boundary_34_1,376,0,100.0
279,Boundary_78_4,656,0,100.0
79,Grain_78,2627,0,100.0
485,Boundary_91_3,604,0,100.0
502,Boundary_69_4,320,0,100.0
528,Boundary_58_2,272,0,100.0
535,Boundary_81_4,564,0,100.0
46,Grain_66,2650,0,100.0
152,Boundary_3_4,350,0,100.0
250,Boundary_92_2,380,0,100.0
448,Boundary_88_2,488,0,100.0
610,Boundary_88_6,524,0,100.0
438,Boundary_18_6,360,0,100.0
436,Boundary_83_3,596,0,100.0
454,Boundary_61_6,260,0,100.0
154,Boundary_46_2,352,0,100.0
206,Boundary_57_5,920,0,100.0
500,Boundary_43_4,504,0,100.0
40,Grain_84,2143,613,77.76
245,Boundary_16_3,820,0,100.0
595,Boundary_83_1,488,0,100.0
325,Boundary_16_5,945,0,100.0
616,Boundary_65_2,755,0,100.0
660,Boundary_3_5,925,0,100.0
145,Boundary_25_7,516,0,100.0
444,Boundary_43_5,488,0,100.0
558,Boundary_87_2,654,0,100.0
342,Boundary_61_5,280,0,100.0
457,Boundary_8_2,128,0,100.0
460,Boundary_80_1,432,0,100.0
351,Boundary_28_4,276,0,100.0
158,Boundary_96_4,464,0,100.0
587,Boundary_70_2,350,0,100.0
92,Grain_14,2842,0,100.0
118,Boundary_71_2,585,0,100.0
162,Boundary_40_3,516,0,100.0
494,Boundary_88_5,496,0,100.0
537,Boundary_68_8,580,0,100.0
93,Grain_3,2557,735,77.67
304,Boundary_40_4,756,0,100.0
18,Grain_54,2699,0,100.0
514,Boundary_99_5,575,0,100.0
349,Boundary_14_7,164,0,100.0
368,Boundary_95_4,378,0,100.0
217,Boundary_78_5,296,0,100.0
61,Grain_16,2577,0,100.0
412,Boundary_27_2,372,0,100.0
212,Boundary_75_4,700,0,100.0
474,Boundary_15_1,424,0,100.0
540,Boundary_98_2,488,0,100.0
223,Boundary_35_6,740,0,100.0
285,Boundary_44_2,816,0,100.0
198,Boundary_53_6,640,0,100.0
331,Boundary_19_5,755,0,100.0
80,Grain_72,2304,661,77.71
51,Grain_93,2237,649,77.51
490,Boundary_58_3,520,0,100.0
143,Boundary_22_3,816,0,100.0
508,Boundary_8_5,564,0,100.0
667,Boundary_12_2,1090,0,100.0
330,Boundary_78_6,700,0,100.0
284,Boundary_39_7,560,0,100.0
419,Boundary_90_5,205,0,100.0
650,Boundary_53_5,344,0,100.0
367,Boundary_25_4,128,0,100.0
186,Boundary_70_6,525,0,100.0
547,Boundary_52_6,756,0,100.0
90,Grain_99,2330,695,77.02
658,Boundary_34_4,548,0,100.0
316,Boundary_17_2,735,0,100.0
456,Boundary_24_2,1098,0,100.0
179,Boundary_3_1,830,0,100.0
515,Boundary_54_2,870,0,100.0
52,Grain_2,2317,709,76.57
369,Boundary_4_2,695,0,100.0
356,Boundary_69_3,1050,0,100.0
599,Boundary_99_1,635,0,100.0
487,Boundary_80_6,164,0,100.0
85,Grain_1,2353,713,76.74
406,Boundary_61_4,836,0,100.0
643,Boundary_98_4,604,0,100.0
533,Boundary_85_1,680,0,100.0
10,Grain_6,2233,625,78.13
261,Boundary_74_3,870,0,100.0
484,Boundary_13_4,705,0,100.0
340,Boundary_13_3,900,0,100.0
329,Boundary_64_3,472,0,100.0
662,Boundary_96_5,416,0,100.0
466,Boundary_32_3,910,0,100.0
534,Boundary_20_4,572,0,100.0
645,Boundary_63_1,572,0,100.0
241,Boundary_26_4,656,0,100.0
236,Boundary_18_3,496,0,100.0
649,Boundary_71_3,875,0,100.0
190,Boundary_79_5,1040,0,100.0
601,Boundary_34_5,372,0,100.0
14,Grain_64,2569,0,100.0
548,Boundary_76_2,558,0,100.0
543,Boundary_10_1,572,0,100.0
357,Boundary_36_4,685,0,100.0
403,Boundary_74_4,1260,0,100.0
592,Boundary_24_1,318,0,100.0
608,Boundary_67_3,845,0,100.0
597,Boundary_35_3,560,0,100.0
123,Boundary_94_4,608,0,100.0
305,Boundary_15_3,476,0,100.0
574,Boundary_2_6,680,0,100.0
197,Boundary_35_1,364,0,100.0
233,Boundary_93_3,356,0,100.0
196,Boundary_56_1,570,0,100.0
408,Boundary_6_5,945,0,100.0
324,Boundary_45_4,615,0,100.0
505,Boundary_4_1,600,0,100.0
54,Grain_18,2752,0,100.0
606,Boundary_42_5,870,0,100.0
205,Boundary_96_6,408,0,100.0
327,Boundary_51_2,492,0,100.0
62,Grain_20,2212,659,77.05
483,Boundary_30_1,496,0,100.0
122,Boundary_87_1,378,0,100.0
58,Grain_87,2726,809,77.11
596,Boundary_56_3,765,0,100.0
615,Boundary_8_6,420,0,100.0
385,Boundary_16_4,580,0,100.0
321,Boundary_14_8,480,0,100.0
